3.9888,5.1592
3.9918,5.1637
3.9933,5.1439
4.0208,5.0966
4.0483,5.1393
4.0452,5.0081
4.0178,5.2141
4.0254,5.1668
4.0223,5.1378
4.0254,5.182
4.0208,5.1454
4.0086,5.2156
3.9949,5.1378
4.0086,5.1332
4.0468,5.1668
4.0742,5.2248
4.0437,5.1943
4.0193,5.2309
3.9995,5.2126
3.9979,5.1439
3.9964,5.2232
3.9903,5.1927
4.0193,5.1531
4.1383,5.1637
4.1231,5.2095
4.0559,5.1714
4.2482,5.3774
4.2894,5.4415
4.1902,5.2782
4.1032,5.3026
3.9995,5.2187
3.9827,5.2217
4.0117,5.089
4.0651,5.2583
4.0178,5.1775
4.0971,5.2187
4.2512,5.4033
4.2711,5.2568
4.1322,5.2843
4.0407,5.2553
4.0162,5.2202
4.0117,5.2446
4.0284,5.1637
4.0162,5.1927
3.9964,5.208
3.975,5.1897
3.972,5.1424
3.9918,5.2309
4.0239,5.1592
4.2055,5.2385
4.088,5.2232
4.1948,5.2965
4.0422,5.2355
4.0117,5.2217
3.9933,5.2156
4.0239,5.2461
4.004,5.2217
3.9735,5.2492
4.0117,5.1729
3.9857,5.0493
4.0773,5.1485
4.1566,5.3026
4.0422,5.2095
4.0284,5.2675
4.033,5.208
4.091,5.2477
4.0361,5.1912
3.9995,5.1302
4.033,5.1698
4.1063,5.2095
4.1856,5.2522
4.2314,5.266
4.2619,5.3514
4.2817,5.3926
4.265,5.4552
4.3077,5.4491
4.3092,5.5544
4.3031,5.5605
4.3611,5.6047
4.3153,5.6078
4.3443,5.6429
4.3779,5.6932
4.3825,5.7634
4.3855,5.7115
4.3046,5.7009
4.2985,5.6291
4.1978,5.4735
4.1093,5.3926
4.088,5.3377
4.0407,5.3255
4.0208,5.2416
3.9903,5.2477
3.9827,5.1607
4.004,5.1729
3.975,5.2004
3.9766,5.2065
3.9842,5.1836
3.9781,5.2614
3.972,5.1653
3.9659,5.2324
3.9735,5.2263
3.9811,5.2644
3.9781,5.1241
3.9613,5.208
3.9537,5.208
3.9674,5.2187
4.0071,5.1683
3.9567,5.1775
3.9705,5.1714
3.9628,5.1866
3.9476,5.237
3.9918,5.1408
4.0666,5.1866
4.0452,5.1424
3.9888,5.1561
4.0254,4.9928
4.004,5.1759
3.975,5.1836
3.9811,5.2187
4.0101,5.1988
3.9888,5.1836
3.9766,5.1347
3.9918,5.2599
4.001,5.1668
4.1047,5.2171
4.0391,5.182
3.9766,5.1683
3.9583,5.2507
3.9415,5.1485
3.9354,5.237
3.9476,5.182
3.9323,5.1439
3.9171,5.2263
3.9262,5.1912
3.9216,5.2049
3.9735,5.0645
3.9186,5.1195
3.9705,5.1607
3.9293,5.089
3.9766,5.1744
3.9995,5.1057
3.9415,5.1912
3.946,5.0844
3.943,5.1683
3.9537,5.1363
3.975,5.1332
3.9644,5.1454
3.9476,5.1286
3.9552,5.2034
3.9369,5.1424
3.9384,5.2324
3.9064,5.1943
3.9506,5.2187
3.9201,5.2095
3.9506,5.1836
3.9109,5.208
3.8926,5.2248
3.9155,5.2034
3.9216,5.1195
3.9232,5.1698
3.9232,5.1973
3.9109,5.1943
3.9232,5.2248
3.8896,5.2263
3.882,5.3575
3.9048,5.1653
3.8728,5.1866
3.8804,5.2767
3.8926,5.2339
3.9171,5.1988
3.9216,5.1973
3.9262,5.2004
3.9018,5.2721
3.9033,5.2248
3.8896,5.2232
3.8972,5.2126
3.9369,5.1531
3.9506,5.1607
3.9064,5.1683
3.9003,5.1668
3.9018,5.2065
3.9155,5.1561
3.8987,5.1485
3.8606,5.1164
3.9125,5.1225
3.8957,5.1622
3.8789,5.1653
3.8835,5.2065
3.8926,5.1988
3.8957,5.1897
3.9018,5.1317
3.8957,5.1408
3.885,5.1302
3.9155,5.1042
3.8896,5.1271
3.9018,5.0874
3.9186,5.0966
3.9384,5.15
3.9064,5.034
3.9277,4.9226
4.0071,4.9776
3.9018,4.9364
3.8789,4.9333
3.8835,4.976
3.882,4.9226
3.8697,4.9303
3.8453,4.9272
3.8453,4.8982
3.8713,4.8845
3.8774,4.9089
3.8636,4.9425
3.7736,4.9364
3.6943,4.8738
3.8667,4.6968
3.8575,4.799
3.8911,4.883
3.914,4.738
3.8697,4.8753
3.8987,4.8738
3.8789,4.8402
3.8423,4.8662
3.8835,4.7304
3.8636,4.7349
3.9018,4.7426
3.8865,4.7853
3.8347,4.6907
3.8575,4.7441
3.8285,4.7716
3.8377,4.7456
3.8118,4.6968
3.8255,4.7655
3.8133,4.6953
3.8453,4.706
3.8484,4.7334
3.8179,4.7288
